#Gene_Name	#Uniprot_ID	label
DEG20010125	Q12368	1
DEG20010126	P15436	1
DEG20010127	P43123	1
DEG20010128	P43124	1
DEG20010129	P06242	1
DEG20010130	Q12277	1
DEG20010131	Q07540	1
DEG20010132	P25694	1
DEG20010133	Q12018	1
DEG20010134	Q12334	1
DEG20010135	P04050	1
DEG20010136	P48445	1
DEG20010137	P39078	1
DEG20010138	P53622	1
DEG20010139	Q12250	1
DEG20010140	Q99207	1
DEG20010141	P25441	1
DEG20010142	Q12136	1
DEG20010143	P24870	1
DEG20010144	P04819	1
DEG20010145	P06100	1
DEG20010146	Q12055	1
DEG20010147	Q12063	1
DEG20010148	P38968	1
DEG20010149	P28789	1
DEG20010150	Q12315	1
DEG20010151	P32495	1
DEG20010152	Q12046	1
DEG20010153	Q02774	1
DEG20010154	Q12328	1
DEG20010155	P32797	1
DEG20010156	Q07688	1
DEG20010157	P41920	1
DEG20010158	Q12488	1
DEG20010159	Q12248	1
DEG20010160	Q12099	1
DEG20010161	P07284	1
DEG20010162	P15180	1
DEG20010163	Q03201	1
DEG20010164	P11353	1
DEG20010165	Q04307	1
DEG20010166	P32347	1
DEG20010167	P00942	1
DEG20010168	P32325	1
DEG20010169	P14682	1
DEG20010170	Q12176	1
DEG20010171	P40970	1
DEG20010172	P05756	1
DEG20010173	P32896	1
DEG20010174	P38960	1
DEG20010175	P35179	1
DEG20010176	P35178	1
DEG20010177	Q02775	1
DEG20010178	Q03195	1
DEG20010179	P40316	1
DEG20010180	Q04601	1
DEG20010181	P26798	1
DEG20010182	Q03921	1
DEG20010183	Q03761	1
DEG20010184	P47976	1
DEG20010185	Q03770	1
DEG20010186	P30619	1
DEG20010187	P89102	1
DEG20010188	Q12030	1
DEG20010189	P06101	1
DEG20010190	P11075	1
DEG20010191	P05453	1
DEG20010192	P21734	1
DEG20010193	Q04002	1
DEG20010194	P40986	1
DEG20010195	P39079	1
DEG20010196	P22213	1
DEG20010197	Q03940	1
DEG20010198	Q03941	1
DEG20010199	Q03954	1
DEG20010200	P38994	1
DEG20010201	P32501	1
DEG20010202	P12612	1
DEG20010203	P02293	1
DEG20010204	P39081	1
DEG20010205	Q04935	1
DEG20010206	P09950	1
DEG20010207	Q04947	1
DEG20010208	Q03776	1
DEG20010209	Q03778	1
DEG20010210	P41810	1
DEG20010211	Q03782	1
DEG20010212	P23394	1
DEG20010213	Q03784	1
DEG20010214	Q05583	1
DEG20010215	Q05636	1
DEG20010216	Q05541	1
DEG20010217	P32916	1
DEG20010218	Q06631	1
DEG20010219	Q06632	1
DEG20010220	Q06636	1
DEG20010221	Q06639	1
DEG20010222	P47822	1
DEG20010223	P32776	1
DEG20010224	Q06679	1
DEG20010225	Q06680	1
DEG20010226	P52286	1
DEG20010227	P49018	1
DEG20010228	Q05498	1
DEG20010229	Q05506	1
DEG20010230	P29509	1
DEG20010231	P32380	1
DEG20010232	Q06338	1
DEG20010233	Q06339	1
DEG20010234	Q06344	1
DEG20010235	Q06346	1
DEG20010236	Q06389	1
DEG20010237	P48360	1
DEG20010238	Q12159	1
DEG20010239	P17121	1
DEG20010240	P52488	1
DEG20010241	P33298	1
DEG20010242	Q92317	1
DEG20010243	Q04177	1
DEG20010244	P34087	1
DEG20010245	Q04183	1
DEG20010246	Q04031	1
DEG20010247	Q04048	1
DEG20010248	Q04062	1
DEG20010249	Q04067	1
DEG20010250	Q04080	1
DEG20010251	Q04082	1
DEG20010252	Q02354	1
DEG20010253	P15454	1
DEG20010254	Q03290	1
DEG20010255	P38904	1
DEG20010256	Q03322	1
DEG20010257	Q03327	1
DEG20010258	Q03337	1
DEG20010259	Q03338	1
DEG20010260	P40993	1
DEG20010261	Q99258	1
DEG20010262	Q03406	1
DEG20010263	P28791	1
DEG20010264	Q04377	1
DEG20010265	P50896	1
DEG20010266	Q12306	1
DEG20010267	Q04418	1
DEG20010268	Q04430	1
DEG20010269	P33767	1
DEG20010270	P38632	1
DEG20010271	P39990	1
DEG20010272	P24279	1
DEG20010273	P23301	1
DEG20010274	P32630	1
DEG20010275	P39985	1
DEG20010276	P38628	1
DEG20010277	P29952	1
DEG20010278	P40009	1
DEG20010279	P40010	1
DEG20010280	P33332	1
DEG20010281	P33331	1
DEG20010282	P22141	1
DEG20010283	P24384	1
DEG20010284	P40013	1
DEG20010285	P40014	1
DEG20010286	P40016	1
DEG20010287	P32569	1
DEG20010288	P32263	1
DEG20010289	P32481	1
DEG20010290	P40024	1
DEG20010291	P40026	1
DEG20010292	P39954	1
DEG20010293	Q6Q560	1
DEG20010294	P40039	1
DEG20010295	Q3E834	1
DEG20010296	P40055	1
DEG20010297	P40061	1
DEG20010298	P25451	1
DEG20010299	P40063	1
DEG20010300	P40065	1
DEG20010301	P40070	1
DEG20010302	P39940	1
DEG20010303	P40078	1
DEG20010304	P40079	1
DEG20010305	P32598	1
DEG20010306	P39958	1
DEG20010307	P40089	1
DEG20010308	P40090	1
DEG20010309	P13393	1
DEG20010310	P40094	1
DEG20010311	P40096	1
DEG20010312	P04147	1
DEG20010313	P21269	1
DEG20010314	P06839	1
DEG20010315	P32639	1
DEG20010316	P25808	1
DEG20010317	P07560	1
DEG20010318	P32908	1
DEG20010319	P07834	1
DEG20010320	P43577	1
DEG20010321	P40204	1
DEG20010322	P15625	1
DEG20010323	P43572	1
DEG20010324	P43568	1
DEG20010325	P43563	1
DEG20010326	P02557	1
DEG20010327	P01123	1
DEG20010328	P60010	1
DEG20010329	P07283	1
DEG20010330	P34077	1
DEG20010331	P43587	1
DEG20010332	P43588	1
DEG20010333	P43589	1
DEG20010334	P43605	1
DEG20010335	Q00684	1
DEG20010336	P43606	1
DEG20010337	P38989	1
DEG20010338	P43609	1
DEG20010339	P43614	1
DEG20010340	P30657	1
DEG20010341	P43621	1
DEG20010342	P32496	1
DEG20010343	P53199	1
DEG20010344	P05030	1
DEG20010345	P21243	1
DEG20010346	P25339	1
DEG20010347	P53193	1
DEG20010348	P39007	1
DEG20010349	P14120	1
DEG20010350	P05373	1
DEG20010351	P25299	1
DEG20010352	P53178	1
DEG20010353	Q01939	1
DEG20010354	P21147	1
DEG20010355	P53168	1
DEG20010356	P43636	1
DEG20010357	P53163	1
DEG20010358	P10961	1
DEG20010359	P53159	1
DEG20010360	P52920	1
DEG20010361	P49687	1
DEG20010362	P53148	1
DEG20010363	P21827	1
DEG20010364	P53146	1
DEG20010365	P53145	1
DEG20010366	P02406	1
DEG20010367	P53136	1
DEG20010368	P53040	1
DEG20010369	P53135	1
DEG20010370	P26309	1
DEG20010371	P53131	1
DEG20010372	P32505	1
DEG20010373	P25443	1
DEG20010374	P52868	1
DEG20010375	Q01159	1
DEG20010376	P41811	1
DEG20010377	P30777	1
DEG20010378	P33891	1
DEG20010379	P53115	1
DEG20010380	P18898	1
DEG20010381	P15315	1
DEG20010382	P32579	1
DEG20010383	P45818	1
DEG20010384	Q02199	1
DEG20010385	P53104	1
DEG20010386	P39938	1
DEG20010387	P53091	1
DEG20010388	P32558	1
DEG20010389	P40107	1
DEG20010390	P22224	1
DEG20010391	P33307	1
DEG20010392	P46655	1
DEG20010393	P53062	1
DEG20010394	P53201	1
DEG20010395	P41896	1
DEG20010396	P40357	1
DEG20010397	P53207	1
DEG20010398	P53215	1
DEG20010399	P27882	1
DEG20010400	P53218	1
DEG20010401	P53230	1
DEG20010402	P33339	1
DEG20010403	P53044	1
DEG20010404	P53045	1
DEG20010405	P53241	1
DEG20010406	Q02260	1
DEG20010407	Q00723	1
DEG20010408	P35180	1
DEG20010409	P12754	1
DEG20010410	P53254	1
DEG20010411	P49704	1
DEG20010412	P07806	1
DEG20010413	P53256	1
DEG20010414	Q03018	1
DEG20010415	P53038	1
DEG20010416	P53261	1
DEG20010417	P53267	1
DEG20010418	P23615	1
DEG20010419	P48837	1
DEG20010420	P53271	1
DEG20010421	P53276	1
DEG20010422	P32504	1
DEG20010423	P48234	1
DEG20010424	P37293	1
DEG20010425	P39927	1
DEG20010426	P48240	1
DEG20010427	P53039	1
DEG20010428	P32476	1
DEG20010429	P53298	1
DEG20010430	P36421	1
DEG20010431	P41895	1
DEG20010432	P06775	1
DEG20010433	P46948	1
DEG20010434	P46951	1
DEG20010435	P53303	1
DEG20010436	P53306	1
DEG20010437	P30822	1
DEG20010438	P53312	1
DEG20010439	P53313	1
DEG20010440	P29056	1
DEG20010442	P32379	1
DEG20010443	P00958	1
DEG20010444	P51601	1
DEG20010445	P46677	1
DEG20010446	P53332	1
DEG20010447	P53333	1
DEG20010448	P53335	1
DEG20010449	P53343	1
DEG20010450	P38701	1
DEG20010452	P10614	1
DEG20010453	P23624	1
DEG20010454	P38707	1
DEG20010455	P38708	1
DEG20010456	P08964	1
DEG20010457	P11914	1
DEG20010458	P38770	1
DEG20010459	P38772	1
DEG20010460	P16603	1
DEG20010461	P38782	1
DEG20010462	P38786	1
DEG20010463	P38712	1
DEG20010464	P38791	1
DEG20010465	P38792	1
DEG20010466	P38793	1
DEG20010467	P38604	1
DEG20010468	Q6Q547	1
DEG20010469	P38795	1
DEG20010470	P38691	1
DEG20010471	P14693	1
DEG20010472	P13574	1
DEG20010473	P38803	1
DEG20010474	Q00539	1
DEG20010475	P38805	1
DEG20010476	P38810	1
DEG20010477	P38813	1
DEG20010478	P32468	1
DEG20010479	P38826	1
DEG20010480	P38829	1
DEG20010481	P40422	1
DEG20010482	P32899	1
DEG20010483	P38859	1
DEG20010484	P16522	1
DEG20010485	P38861	1
DEG20010486	P38863	1
DEG20010487	P38873	1
DEG20010488	P38875	1
DEG20010489	P29704	1
DEG20010490	P38882	1
DEG20010491	P38883	1
DEG20010492	P40558	1
DEG20010493	P22804	1
DEG20010494	P40546	1
DEG20010495	P16370	1
DEG20010496	Q01852	1
DEG20010497	P40541	1
DEG20010498	P40537	1
DEG20010499	P39014	1
DEG20010500	P40527	1
DEG20010501	P40185	1
DEG20010502	Q00916	1
DEG20010503	P40518	1
DEG20010504	P40517	1
DEG20010505	P32844	1
DEG20010506	P32565	1
DEG20010507	P04801	1
DEG20010508	P40506	1
DEG20010510	P40486	1
DEG20010511	P40484	1
DEG20010512	P40482	1
DEG20010513	P40477	1
DEG20010514	Q00245	1
DEG20010515	P32597	1
DEG20010516	P40468	1
DEG20010517	P39076	1
DEG20010518	Q00578	1
DEG20010520	P39928	1
DEG20010521	P32354	1
DEG20010522	P40564	1
DEG20010523	P32521	1
DEG20010524	P10363	1
DEG20010525	P40568	1
DEG20010526	P38637	1
DEG20010527	P35184	1
DEG20010528	P40571	1
DEG20010529	P15367	1
DEG20010530	P38624	1
DEG20010531	P41543	1
DEG20010532	P08678	1
DEG20010533	P47079	1
DEG20010534	P47077	1
DEG20010535	P47076	1
DEG20010536	P39077	1
DEG20010537	P47069	1
DEG20010538	P40992	1
DEG20010539	P09938	1
DEG20010540	Q00618	1
DEG20010541	P20448	1
DEG20010542	P16474	1
DEG20010543	P47058	1
DEG20010544	P47054	1
DEG20010545	P14907	1
DEG20010546	P47047	1
DEG20010547	P47045	1
DEG20010548	P40368	1
DEG20010549	P40362	1
DEG20010550	P40359	1
DEG20010551	P47037	1
DEG20010552	P47035	1
DEG20010553	P80428	1
DEG20010554	P19658	1
DEG20010555	P09880	1
DEG20010556	P47027	1
DEG20010557	P47026	1
DEG20010558	P40857	1
DEG20010559	P42949	1
DEG20010560	P42945	1
DEG20010561	P42943	1
DEG20010562	P47018	1
DEG20010563	P46959	1
DEG20010564	P39515	1
DEG20010565	P47002	1
DEG20010566	P21268	1
DEG20010567	P06244	1
DEG20010568	P08524	1
DEG20010569	P26755	1
DEG20010570	P39005	1
DEG20010571	P09119	1
DEG20010572	P32524	1
DEG20010573	P47083	1
DEG20010575	P46957	1
DEG20010576	P20459	1
DEG20010577	P47087	1
DEG20010578	P47088	1
DEG20010579	P39522	1
DEG20010580	P22696	1
DEG20010581	P47093	1
DEG20010582	P47108	1
DEG20010583	P46673	1
DEG20010584	P0CS90	1
DEG20010585	P47112	1
DEG20010586	P00572	1
DEG20010587	P40413	1
DEG20010588	P47117	1
DEG20010589	P47118	1
DEG20010590	P40348	1
DEG20010591	P47122	1
DEG20010592	P32458	1
DEG20010593	P45976	1
DEG20010594	P33303	1
DEG20010595	P47149	1
DEG20010596	P26783	1
DEG20010597	P47172	1
DEG20010598	P36107	1
DEG20010599	P43682	1
DEG20010600	P33203	1
DEG20010601	P33204	1
DEG20010602	P34241	1
DEG20010603	P36104	1
DEG20010604	P29703	1
DEG20010605	P20484	1
DEG20010606	P09798	1
DEG20010607	P15700	1
DEG20010608	P36100	1
DEG20010609	P36097	1
DEG20010610	P32861	1
DEG20010611	P36094	1
DEG20010612	P20457	1
DEG20010613	P36012	1
DEG20010614	P35734	1
DEG20010615	P32774	1
DEG20010616	P35728	1
DEG20010617	P14540	1
DEG20010618	P36009	1
DEG20010619	P36080	1
DEG20010620	P36076	1
DEG20010621	P35201	1
DEG20010622	P28320	1
DEG20010623	P34247	1
DEG20010624	P34244	1
DEG20010625	P14742	1
DEG20010626	P34252	1
DEG20010627	P14164	1
DEG20010628	P32342	1
DEG20010629	P36070	1
DEG20010630	P69852	1
DEG20010631	P33421	1
DEG20010632	P35718	1
DEG20010633	P33299	1
DEG20010634	P00950	1
DEG20010635	P36057	1
DEG20010636	P36051	1
DEG20010637	P05986	1
DEG20010638	P36049	1
DEG20010639	P36048	1
DEG20010640	P05740	1
DEG20010641	P07149	1
DEG20010642	P34232	1
DEG20010643	P32464	1
DEG20010644	P32463	1
DEG20010645	P36047	1
DEG20010646	P36046	1
DEG20010647	P36015	1
DEG20010648	P32600	1
DEG20010649	P33418	1
DEG20010650	P22515	1
DEG20010651	P29468	1
DEG20010652	Q02202	1
DEG20010653	Q02206	1
DEG20010654	P36118	1
DEG20010655	P36121	1
DEG20010656	P36131	1
DEG20010657	P36132	1
DEG20010658	P36145	1
DEG20010659	P36146	1
DEG20010660	P36149	1
DEG20010661	P36152	1
DEG20010662	P36159	1
DEG20010663	P36160	1
DEG20010664	P36162	1
DEG20010665	P15938	1
DEG20010666	Q12369	1
DEG20010667	P54790	1
DEG20010668	P32892	1
DEG20010669	P33750	1
DEG20010670	P04802	1
DEG20010671	Q07830	1
DEG20010672	Q07844	1
DEG20010673	Q07845	1
DEG20010674	P32523	1
DEG20010675	Q03048	1
DEG20010676	Q07896	1
DEG20010677	Q04673	1
DEG20010678	Q07913	1
DEG20010679	Q07914	1
DEG20010680	Q07915	1
DEG20010681	Q07921	1
DEG20010682	Q07928	1
DEG20010683	Q07953	1
DEG20010684	Q01590	1
DEG20010685	P05748	1
DEG20010686	Q07979	1
DEG20010687	P46675	1
DEG20010688	Q12035	1
DEG20010689	P54964	1
DEG20010690	P15624	1
DEG20010691	Q12133	1
DEG20010692	P19263	1
DEG20010693	P41805	1
DEG20010694	P25385	1
DEG20010695	Q12267	1
DEG20010696	P39012	1
DEG20010697	Q12347	1
DEG20010699	Q12452	1
DEG20010700	Q08032	1
DEG20010701	P16658	1
DEG20010703	Q12102	1
DEG20010704	Q12186	1
DEG20010705	Q12309	1
DEG20010706	Q12440	1
DEG20010707	Q12220	1
DEG20010709	Q02983	1
DEG20010710	Q12530	1
DEG20010711	P43321	1
DEG20010712	P52910	1
DEG20010713	P10507	1
DEG20010714	Q06245	1
DEG20010715	P05759	1
DEG20010716	P33322	1
DEG20010717	Q06287	1
DEG20010718	P14743	1
DEG20010719	P21304	1
DEG20010721	Q04491	1
DEG20010722	P53378	1
DEG20010723	Q05791	1
DEG20010724	P47818	1
DEG20010725	Q05946	1
DEG20010726	P39520	1
DEG20010727	P19073	1
DEG20010729	P16521	1
DEG20010730	P19882	1
DEG20010731	Q06156	1
DEG20010732	P29496	1
DEG20010733	Q06217	1
DEG20010734	Q06218	1
DEG20010735	Q06224	1
DEG20010736	P32502	1
DEG20010737	Q05900	1
DEG20010738	P37297	1
DEG20010739	P04821	1
DEG20010740	P32457	1
DEG20010741	Q9URQ3	1
DEG20010742	Q06168	1
DEG20010743	P53769	1
DEG20010744	Q06132	1
DEG20010745	P05317	1
DEG20010746	Q06142	1
DEG20010747	P06168	1
DEG20010748	Q05911	1
DEG20010749	Q05937	1
DEG20010750	P32915	1
DEG20010751	P32794	1
DEG20010752	P32432	1
DEG20010753	Q06078	1
DEG20010754	Q06411	1
DEG20010755	Q00416	1
DEG20010756	P57743	1
DEG20010757	Q12745	1
DEG20010758	P52919	1
DEG20010759	P41733	1
DEG20010760	P27692	1
DEG20010761	Q04226	1
DEG20010762	Q03718	1
DEG20010763	P51998	1
DEG20010764	P32500	1
DEG20010765	Q04712	1
DEG20010766	P39682	1
DEG20010767	Q04693	1
DEG20010768	P38987	1
DEG20010769	P54784	1
DEG20010770	Q04638	1
DEG20010771	Q04636	1
DEG20010772	Q03630	1
DEG20010773	P09733	1
DEG20010774	Q02773	1
DEG20010775	P23639	1
DEG20010776	Q04500	1
DEG20010777	P11747	1
DEG20010778	P29478	1
DEG20010779	Q03750	1
DEG20010780	Q12746	1
DEG20010781	P54839	1
DEG20010782	Q03124	1
DEG20010783	Q03104	1
DEG20010784	Q03103	1
DEG20010785	P32562	1
DEG20010786	P50105	1
DEG20010787	P20048	1
DEG20010788	Q04372	1
DEG20010789	Q05080	1
DEG20010790	Q05123	1
DEG20010791	P11746	1
DEG20010792	Q02630	1
DEG20010793	Q04660	1
DEG20010794	Q04675	1
DEG20010795	P25298	1
DEG20010796	P54785	1
DEG20010797	Q04767	1
DEG20010798	Q04264	1
DEG20010799	P24280	1
DEG20010800	Q04305	1
DEG20010801	P35203	1
DEG20010802	Q99278	1
DEG20010803	Q12676	1
DEG20010804	Q04477	1
DEG20010805	Q04217	1
DEG20010806	Q04225	1
DEG20010807	P40207	1
DEG20010808	P40217	1
DEG20010809	Q02795	1
DEG20010810	Q03825	1
DEG20010811	P40969	1
DEG20010812	P35209	1
DEG20010814	Q04338	1
DEG20010815	Q01649	1
DEG20010816	Q03691	1
DEG20010817	P23644	1
DEG20010818	P07277	1
DEG20010819	Q03652	1
DEG20010820	Q03654	1
DEG20010821	Q03660	1
DEG20010822	P24521	1
DEG20010823	Q05021	1
DEG20010824	Q05022	1
DEG20010825	P11745	1
DEG20010826	Q05027	1
DEG20010827	Q02555	1
DEG20010828	Q02554	1
DEG20010829	P38912	1
DEG20010830	P49960	1
DEG20010831	P53437	1
DEG20010832	Q03254	1
DEG20010833	P23797	1
DEG20010834	P49955	1
DEG20010835	Q03532	1
DEG20010836	P25045	1
DEG20010837	Q03579	1
DEG20010838	P40416	1
DEG20010839	P32337	1
DEG20010840	P32497	1
DEG20010841	P40302	1
DEG20010842	P40693	1
DEG20010843	P41318	1
DEG20010844	P25294	1
DEG20010845	P53974	1
DEG20010847	P53969	1
DEG20010848	P53961	1
DEG20010849	P46678	1
DEG20010850	P40991	1
DEG20010851	P41814	1
DEG20010852	P53941	1
DEG20010853	P06786	1
DEG20010854	P13382	1
DEG20010855	P32389	1
DEG20010856	P53927	1
DEG20010857	P24783	1
DEG20010858	P28000	1
DEG20010859	P53550	1
DEG20010860	P53919	1
DEG20010861	P53540	1
DEG20010862	P49334	1
DEG20010863	P53914	1
DEG20010864	P27929	1
DEG20010865	P0C074	1
DEG20010866	P53903	1
DEG20010867	P17890	1
DEG20010868	P53901	1
DEG20010869	P53896	1
DEG20010870	P53894	1
DEG20010871	P0CX27	1
DEG20010872	P53893	1
DEG20010873	P53886	1
DEG20010874	P05750	1
DEG20010875	P53878	1
DEG20010876	P53877	1
DEG20010877	P11927	1
DEG20010878	Q02821	1
DEG20010879	P40160	1
DEG20010880	P11938	1
DEG20010881	P41812	1
DEG20010882	P53538	1
DEG20010883	P53859	1
DEG20010884	P23503	1
DEG20010885	P32911	1
DEG20010886	P53854	1
DEG20010887	P53852	1
DEG20010888	P53617	1
DEG20010889	P53848	1
DEG20010890	P53847	1
DEG20010892	P50874	1
DEG20010893	P21951	1
DEG20010894	P53845	1
DEG20010895	P39104	1
DEG20010896	P17065	1
DEG20010897	P53833	1
DEG20010898	P32074	1
DEG20010899	P38629	1
DEG20010900	P42847	1
DEG20010901	P42846	1
DEG20010902	P42844	1
DEG20010903	P26754	1
DEG20010905	P42841	1
DEG20010906	P32910	1
DEG20010907	P20095	1
DEG20010908	Q00955	1
DEG20010909	P32897	1
DEG20010910	P11655	1
DEG20010911	P53731	1
DEG20010912	P53734	1
DEG20010913	P32377	1
DEG20010914	P53738	1
DEG20010915	P53742	1
DEG20010916	P53743	1
DEG20010917	P38902	1
DEG20010918	Q08096	1
DEG20010919	Q08162	1
DEG20010920	P25040	1
DEG20010921	Q08176	1
DEG20010922	Q08204	1
DEG20010923	P40303	1
DEG20010924	Q01855	1
DEG20010925	Q12362	1
DEG20010926	P33895	1
DEG20010927	Q08235	1
DEG20010928	Q08236	1
DEG20010929	P40339	1
DEG20010930	Q12109	1
DEG20010931	Q12272	1
DEG20010932	P0CX49	1
DEG20010933	Q99383	1
DEG20010934	P04456	1
DEG20010935	Q08269	1
DEG20010936	Q08273	1
DEG20010937	Q08278	1
DEG20010938	P07260	1
DEG20010939	Q08287	1
DEG20010940	Q12146	1
DEG20010941	Q12517	1
DEG20010942	Q12339	1
DEG20010943	P38910	1
DEG20010944	P20449	1
DEG20010945	Q02792	1
DEG20010946	Q08444	1
DEG20010947	Q08446	1
DEG20010949	P14126	1
DEG20010950	P06785	1
DEG20010951	P41834	1
DEG20010952	P40962	1
DEG20010953	Q12189	1
DEG20010954	P20676	1
DEG20010955	P46964	1
DEG20010956	Q12241	1
DEG20010957	Q12415	1
DEG20010958	P04051	1
DEG20010959	P33297	1
DEG20010960	Q12196	1
DEG20010961	P07274	1
DEG20010962	P35202	1
DEG20010963	Q02521	1
DEG20010964	Q04174	1
DEG20010965	P08518	1
DEG20010966	P25043	1
DEG20010967	Q12330	1
DEG20010968	Q99189	1
DEG20010969	P13188	1
DEG20010970	Q12343	1
DEG20010971	P16622	1
DEG20010972	Q12446	1
DEG20010973	P32773	1
DEG20010974	P06634	1
DEG20010975	P39744	1
DEG20010976	P22276	1
DEG20010977	P22139	1
DEG20010978	P38630	1
DEG20010979	P20436	1
DEG20010980	Q12206	1
DEG20010981	P38523	1
DEG20010982	Q01919	1
DEG20010983	P07807	1
DEG20010984	Q08649	1
DEG20010985	Q08683	1
DEG20010986	Q08685	1
DEG20010987	P14906	1
DEG20010988	Q08693	1
DEG20010989	P06704	1
DEG20010990	P53549	1
DEG20010991	P09032	1
DEG20010992	Q08723	1
DEG20010994	Q12029	1
DEG20010995	Q12024	1
DEG20010996	P06174	1
DEG20010997	Q12017	1
DEG20010999	Q08746	1
DEG20011000	Q12499	1
DEG20011001	Q99181	1
DEG20011002	P19524	1
DEG20011003	P34758	1
DEG20011004	P40825	1
DEG20011005	P22023	1
DEG20011006	P46669	1
DEG20011007	P10964	1
DEG20011008	Q08817	1
DEG20011009	P06103	1
DEG20011010	P21242	1
DEG20011011	P32864	1
DEG20011012	Q08887	1
DEG20011013	P32336	1
DEG20011014	Q12308	1
DEG20011015	P53600	1
DEG20011016	Q12297	1
DEG20011017	Q12754	1
DEG20011018	P09547	1
DEG20011019	Q02724	1
DEG20011020	P41338	1
DEG20011021	P37838	1
DEG20011022	Q02776	1
DEG20011023	P07261	1
DEG20011024	P46961	1
DEG20011025	P32333	1
DEG20011026	Q02825	1
DEG20011027	P48415	1
DEG20011028	Q02892	1
DEG20011029	P21825	1
DEG20011030	P15496	1
DEG20011031	Q02939	1
DEG20011032	P33419	1
DEG20011033	Q02931	1
DEG20011034	Q02457	1
DEG20011035	P26321	1
DEG20011036	Q03016	1
DEG20011037	P05744	1
DEG20011038	Q12080	1
DEG20011039	Q12417	1
DEG20011040	P22216	1
DEG20011041	P26637	1
DEG20011042	Q99257	1
DEG20011043	P32363	1
DEG20011044	P38996	1
DEG20011045	P06245	1
DEG20011046	P29295	1
DEG20011047	Q08960	1
DEG20011048	P38991	1
DEG20011049	P38688	1
DEG20011050	Q08962	1
DEG20011051	Q08965	1
DEG20011052	P20606	1
DEG20011053	O13297	1
DEG20011054	P19097	1
DEG20011055	Q12143	1
DEG20011056	Q12464	1
DEG20011057	P09064	1
DEG20011058	Q12280	1
DEG20011059	P38687	1
DEG20011060	Q12184	1
DEG20011061	Q12365	1
DEG20011062	P41819	1
DEG20011063	P22138	1
DEG20011064	Q12522	1
DEG20011065	P30665	1
DEG20011066	P37366	1
DEG20011067	P07263	1
DEG20011068	Q12406	1
DEG20011069	P32288	1
DEG20011070	Q12199	1
DEG20011071	P38431	1
