#DEG_AC	#Gene_Name	#Gene_Ref	#Uniprot_ID	#COG	#Class	#Function	#Organism	#Refseq	#Condition
DEG2001	DEG20010054	TFC1	P32367	GI:6319600	-	One of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; human homolog is TFIIIC-63	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010055	CKS1	P20486	GI:6319611	-	Cyclin-dependent protein kinase regulatory subunit and adaptor; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010056	MEC1	P38111	GI:6319612	-	Genome integrity checkpoint protein and PI kinase superfamily member; signal transducer required for cell cycle arrest and transcriptional responses prompted by damaged or unreplicated DNA; monitors and participates in meiotic recombination	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010057	IRA1	P18963	GI:6319616	-	GTPase-activating protein that negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, mediates membrane association of adenylate cyclase	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010058	MAK5	P38112	GI:6319618	-	Essential nucleolar protein, putative DEAD-box RNA helicase required for maintenance of M1 dsRNA virus; involved in biogenesis of large (60S) ribosomal subunits	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010059	SUP45	P12385	GI:6319619	-	Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010060	SPP381	P38282	GI:6319628	-	mRNA splicing factor, component of U4/U6.U5 tri-snRNP; interacts genetically and physically with Prp38p	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010061	RIB7	P33312	GI:6319629	-	Diaminohydroxyphoshoribosylaminopyrimidine deaminase; catalyzes the second step of the riboflavin biosynthesis pathway	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010062	RPB5	P20434	GI:6319630	-	RNA polymerase subunit ABC27, common to RNA polymerases I, II, and III; contacts DNA and affects transactivation	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010063	CNS1	P33313	GI:6319631	-	TPR-containing co-chaperone; binds both Hsp82p (Hsp90) and Ssa1p (Hsp70) and stimulates the ATPase activity of SSA1, ts mutants reduce Hsp82p function while over expression suppresses the phenotypes of an HSP82 ts allele and a cpr7 deletion	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010064	AMN1	P38285	GI:6319634	-	Protein required for daughter cell separation, multiple mitotic checkpoints, and chromosome stability; contains 12 degenerate leucine-rich repeat motifs; expression is induced by the Mitotic Exit Network (MEN)	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010065	CDC28	P00546	GI:6319636	-	Catalytic subunit of the main cell cycle cyclin-dependent kinase (CDK); alternately associates with G1 cyclins (CLNs) and G2/M cyclins (CLBs) which direct the CDK to specific substrates	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010066	POP7	P38291	GI:6319644	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010067	RIM2	P38127	GI:6319669	-	Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010068	MED8	P38304	GI:6319670	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010069	PGI1	P12709	GI:6319673	-	Glycolytic enzyme phosphoglucose isomerase, catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010070	TAF5	P38129	GI:6319675	-	Subunit (90 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010071	MCM7	P38132	GI:6319679	-	Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010072	AME1	P38313	GI:6319688	-	Essential kinetochore protein associated with microtubules and spindle pole bodies; component of the kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p); involved in spindle checkpoint maintenance	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010073	DAD3	P69850	GI:21450619	-	Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010074	ARC40	P38328	GI:6319711	-	Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010075	ABD1	P32783	GI:6319713	-	Methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010076	PRP5	P21372	GI:6319714	-	RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010077	ALG7	P07286	GI:6319720	-	UDP-N-acetyl-glucosamine-1-P transferase, transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010078	ENP1	P38333	GI:6319724	-	Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010079	DUT1	P33317	GI:6319729	-	dUTPase, catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010080	SRB6	P32570	GI:6319730	-	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010081	TRS20	P38334	GI:6319731	-	One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; mutations in the human homolog cause the spondyloepiphyseal dysplasia tarda (SEDL) disorder	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010082	RIB5	P38145	GI:6319733	-	Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010083	POP4	P38336	GI:6319734	-	Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends; binds to the RPR1 RNA subunit in RNase P	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010084	TSC10	P38342	GI:6319742	-	3-ketosphinganine reductase, catalyzes the second step in phytosphingosine synthesis, essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine, member of short chain dehydrogenase/reductase protein family	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010085	PGS1	P25578	GI:10383778	-	Phosphatidylglycerolphosphate synthase, catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010086	NFS1	P25374	GI:10383773	-	Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis; required for the post-transcriptional thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010087	RRP7	P25368	GI:6319818	-	Essential protein involved in rRNA processing and ribosome biogenesis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010088	PDI1	P17967	GI:6319806	-	Protein disulfide isomerase, multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010089	PBN1	P25580	GI:6319797	-	Essential component of glycosylphosphatidylinositol-mannosyltransferase I, required for the autocatalytic post-translational processing of the protease B precursor Prb1p, localizes to ER in lumenal orientation; homolog of mammalian PIG-X	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010090	SPB1	P25582	GI:6319796	-	AdoMet-dependent methyltransferase involved in rRNA processing and 60S ribosomal subunit maturation; methylates G2922 in the tRNA docking site of the large subunit rRNA and in the absence of snR52, U2921; suppressor of PAB1 mutants	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010091	KRR1	P25586	GI:6319791	-	Essential nucleolar protein required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010092	HMLALPHA2	P0CY09	GI:6319785	-	Silenced copy of ALPHA2 at HML; homeobox-domain protein that associates with Mcm1p in haploid cells to repress a-specific gene expression and interacts with a1p in diploid cells to repress haploid-specific gene expression	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010093	PGK1	P00560	GI:10383781	-	3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010094	RRP43	P25359	GI:10383796	-	Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp43p (OIP2, EXOSC8)	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010095	MATALPHA2	P0CY08	GI:63536787	-	Homeobox-domain protein that, with Mcm1p, represses a-specific genes in haploids; acts with A1p to repress transcription of haploid-specific genes in diploids; one of two genes encoded by the MATalpha mating type cassette	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010096	RSC6	P25632	GI:6319900	-	Component of the RSC chromatin remodeling complex; essential for mitotic growth; homolog of SWI/SNF subunit Swp73p	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010097	CTR86	P25355	GI:6319902	-	Essential protein of unknown function; upstream region contains a Gcn4p responsive site suggesting a possible role in amino acid biosynthesis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010098	PWP2	P25635	GI:6319903	-	Conserved 90S pre-ribosomal component essential for proper endonucleolytic cleavage of the 35 S rRNA precursor at A0, A1, and A2 sites; contains eight WD-repeats; PWP2 deletion leads to defects in cell cycle and bud morphogenesis	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010099	RSA4	P25382	GI:10383804	-	WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010100	CDC39	P25655	GI:10383811	-	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010101	HMRA2	P0CY13	GI:6319939	-	Silenced copy of a2 at HMR; similarity to Alpha2p; required along with a1p for inhibiting expression of the HO endonuclease in a/alpha HO/HO diploid cells with an active mating-type interconversion system	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010102	MCD1	Q12158	GI:6320201	-	Essential subunit of the cohesin complex required for sister chromatid cohesion in mitosis and meiosis; apoptosis induces cleavage and translocation of a C-terminal fragment to mitochondria; expression peaks in S phase	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010103	ATP16	Q12165	GI:6320200	-	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010104	RPT2	P40327	GI:6320197	-	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010105	APC11	Q12157	GI:6320196	-	Catalytic core subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010106	SLX5	P32828	GI:6320191	-	Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex, stimulated by SUMO-modified substrates; contains a RING domain and two SIMs (SUMO-interacting motifs); forms SUMO-dependent nuclear foci, including DNA repair centers	Saccharomyces cerevisiae	559292	Rich medium
DEG2001	DEG20010107	NOP1	P15646	GI:6320190	-	Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin	Saccharomyces cerevisiae	559292	Rich medium
